iter	Passed	Remaining
0	1	111
1	1	96
2	2	89
3	3	83
4	4	82
5	5	80
6	6	80
7	7	81
8	8	82
9	8	80
10	9	79
11	10	77
12	11	77
13	12	77
14	13	76
15	14	75
16	15	74
17	16	72
18	16	71
19	17	70
20	18	69
21	19	68
22	20	68
23	21	67
24	22	67
25	23	66
26	24	65
27	26	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	30	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	48	39
55	49	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	73	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	11
87	81	11
88	82	10
89	83	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
